,content,,,,,,,
234,재밌으 뭔가 새롭고 세련됬다. 스스로 약한 줄 알지만 너무나 용감한 여주인공. 복수는 그녀처럼 과감하고 확실하게.,,,,,,,
235,이 좋은 슈트를 이런데다 쓴다고??? 액션씬도 투명인간 느낌이 아니라 X맨 염력 느낌이라 완성도도 그닥,,,,,,,
236,생각보다 재미없었음,,,,,,,
237,bgm이 90%이상 먹는다,,,,,,,
238,중간까진 지루해서 극장을 나올까 생각했는데 후반부가 좋아서 괜찮았네요 할로우맨 보다는 별로지만 투명인간 소재물이 별로없으니 공포면에선 추천 !,,,,,,,
239,공포 영화 아님. 귀신이 나오는 것만이 공포영화는 아니지만 이건 공포 영화가 아님. 생각보다 재미 없었다.,,,,,,,
240,그냥 기대안하고 보기엔 괜찮습니다 깜짝깜짝 놀라는?그런 영호ㅓ,,,,,,,
241,초반에 개무섭고요점점 갈수록 대단한새끼라는 생각이 듭니다^^ ㅋ ㅋ ㅋ 영화관에 저릐밖에 없어서 더 무서웠네요 ^^ ㅋ ㅋ ㅋ 시간가는 줄 모릅니다 전 알바 아님요,,,,,,,
242,구구절절 설명은 불필요 이 영화의 신선함만으로 충분하다,,,,,,,
243,솔직히 말해서 별로 무섭진 않음.. 왜 평점이 높은지 모르겠음 여주인공도 못생겨서 더 짱나긴 했는데그냥저냥 볼만한 영화? 돈주고 보기엔 그냥그럼 너무 기대를 크게 해서 그런가?솔직히 내용도 별로 기억안남 평점 6,,,,,,,
244,뻔하고 별 재미없었다...,,,,,,,
245,내 인생에서 두시간 버렸음,,,,,,,
246,너무너무재밋엇읍니다 후회업성요,,,,,,,
247,사운드로 공포감을 조금불러일으키긴하지만 도저히..너무지루해서..결국저는보다잠들었고..남편은끝까지보긴했지만 재미없었데요,,,,,,,
248,1도 안무섭고 고구마파티,,,,,,,
249,광고는 공포영화로 처 해놓고는 그냥 스릴러 영화잖아???,,,,,,,
250,20년전 개봉한 할로우맨이 더 낫다는 느낌,,,,,,,
251,제발 보지마세요.... 정말 노잼입니다 이해가 안되네 사람들이 왜 재밌다고 하는지 너무나 부족한 개연성을 배우들이 연기로 커버치는 느낌,,,,,,,
252,소름끼치고 무섭고 긴장감 백배,,,,,,,
253,여운도 아직 남고 내용도 무게감 있고 또 보고싶고~~,,,,,,,
254,간만에 흥미진진한 영화 봤습니다,,,,,,,
255,반전 대박 볼만했음 무서운거잘보는 나한텐 별로안무서웠당,,,,,,,
256,미친 이딴 허졉한 삼류 OOO영화가 평점이 8.9라고? ㅋㅋ 진짜 수준 알만하다.. 애혀 믿고 거르는 네이년평점이다,,,,,,,
257,그냥 넷플릭스오백번째잇을법한 공포영화,,,,,,,
258,여주 누나 왜이렇게 못생겼냐!!,,,,,,,
259,스토리상 굳이 매력적일 필요없는 경찰이랑 남친은 멋있는 애들로 캐스팅해놓고,,,,,,,
260,돈 주고 본 분들이 나만 당할 수 없다,,,,,,,
261,초중반의 지루함과 설득력 없는 연출,,,,,,,
262,처음에 와 이거 무서운건가봐 하고 긴장하고 봤다가.. 히어로물인가 헷갈렸다가... 이건 도대체 뭐지 하면서 끝나는 영화,,,,,,,
263,별거아닌거에도 깜놀하게 만드는 재주가 있다ㅋㅋㅋ 연기도 잘하고 스토리도 괜찮았음. 무엇보다 bgm,,,,,,,
264,너무 무서워서 깜짝깜짝 놀라고 ㅜ 후하후하,,,,,,,
265,알바가 이렇게 많다니...스토리 디테일 너무 떨어짐...요새 스미싱도 많은데 이메일 하나에 절친이 돌아서질 않나...딸내미도 한방 맞앗다고 아빠 부르고 생난리네...누가봐도 여주 겁나 멀리 손도 안닿을곳에 있었구만....,,,,,,,
266,초중반까지는 확실히 긴장감 좋은데,,,,,,,
267,오! 업그레이드 감독이었네요 어쩐지 신박하더라,,,,,,,
268,스릴러에 가까우며 무섭진 않고 음향효과 타이밍이 미쳐서 사람을 긴장하게 함ㅋㅋㅋ 시간 가는 줄도 모르고 재밌게 봄 ㅋㅋ믿고보는 블룸하우스,,,,,,,
269,진짜 sf물인게 저얼굴을 보고 집착한다는거,,,,,,,
270,진짜 기대하면서 봤는데B급 그 이상도 그 이하도 아니다.생각보다 너무 유치했다.,,,,,,,
271,재밌게 봤습니다. 소름끼치고 반전에 뒷통수 맞았어요.,,,,,,,
272,진짜 긴장늦출수가 없음..  좀 방심한감이 있긴한데 영화관에서 소리지른거 처음이라 쪽팔렸음...,,,,,,,
273,여주가 젤 무섭게 생김:;요즘은 여주 얼굴 안보나,,,,,,,
274,결말에 대한 반전을 너무 생각했나 그냥 예상 할 수있는 결말로 끝나 버리는구나,,,,,,,
275,감독이 영화에 반전같은거 넣으려다가 인물들 감정선 다 무시해버리네. 그리고 개연성이 뒤죽박죽임. 설명할건 제대로 짚고 넘어가던가. 최악까진 아니지만 9점영화는 아님,,,,,,,
276,정말 평점좀 제대로 매겼으면 좋겠네요 너무 실망입니다.,,,,,,,
277,어설픔. clumsy. 감독 역량 부족. 여주 참 매력없고 연기 못하는. 미스 캐스팅. 모든 이야기가 여주에 달려있는데 평범하고 못생겼고 우울한 표정 연기밖에 못하는 여주 하나땜에 영화 집중하기 힘든.  돈도 참 안...,,,,,,,
278,^^ㅣ바 ㄹㅇ 혼자봤는데,,,,,,,
279,존나쟈미없어요레알로,,,,,,,
280,여주 얼굴 보고 스토리가 납득이 되냐? 여자가 스토킹하면 몰라도 뭐 볼 거 있다고 저런 여자를 미친나?,,,,,,,
281,그냥 그랬음 진짜로 그냥 그랬음,,,,,,,
282,끄럭저럭볼맘해유웅ㅋㅋ,,,,,,,
283,처음부터 끝까지 쫄면서 봄,,,,,,,
284,터미네이터2 이후 최고 스릴이었다,,,,,,,
285,스릴 만땅 여주 연기 지림,,,,,,,
286,소재로 인한 몰입도는 매우 높지만.. + 그런 슈퍼히어로 슈트로 하는 일이 고작.,,,,,,,
287,그냥 완전짱이엿음,,,,,,,
288,연기는 괜찮았지만 애매했던 영화,,,,,,,
289,기발하지만 지루하고 특이한데 뻔하다. 대단한 반전이었다고 자기최면이라도 걸어야 시간과 돈이 덜 아까울 것 같다.,,,,,,,
290,스토리전개 좀 미흡한감이 있어요,,,,,,,
291,깜짝깜짝 놀라면서 봄,,,,,,,
292,영화가 .. 서프라이즈한데요...,,,,,,,
293,ㅠㅠ 잔인한거 못보는 분들은 보지마세요ㅠㅠ 전 진짜 잔인한거 보면 온몸이 떨리고 식은땀 줄줄 나는 사람인데 잔인한 장면이 너무 자세히 나와요ㅠㅠ 내용이나 연기는 좋아요!,,,,,,,
294,찌질한 소시오패스 성격때문에 어벤저스 대열에 못끼고 마누라 스토킹에 다 쏟아부은 천재의 비극사..,,,,,,,
295,겟아웃 제작진은 정말 천재적이다는걸 다시금 일깨워주는 영화인듯 ㄹㅇ 몰입하면서 봄,,,,,,,
296,오동통통 쫄긧쬘긧 !!!!,,,,,,,
297,생각보다 너무 재밌네...,,,,,,,
298,볼만은 했는데 평점 조절을 위해 1줌,,,,,,,
299,공포는 아니고. 음향때문에 깜짝 놀라지만마지막 반전을 위해 감독의 연출에 박수를!,,,,,,,
300,여주가 넘 공포스럽게 생김 인간처키?! 이쁘다에 1도 공감이 안됌 개무섭,,,,,,,
301,너무 지루함...오랜만에 시간 아깝다는 생각들정도로....,,,,,,,
302,이것도 영화라고...참...에고,,,,,,,
303,간만에 재밌는 영화봤어요! 추천!!! 완전 개무서움....,,,,,,,
304,인간이 얼마나 사회적인 동물인지 보여주는 영화,,,,,,,
305,관객들한텐 약간 혼돈을 더 주는게 어땠을런지..  근육아저씨는 근육 그렇게 쓸거면 걍 나 줘라,,,,,,,
306,기대만큼은 아니지만전형적인 미국형 스릴러잼나게 봤어요(극장에 혼자 있는게 제일 무서운...),,,,,,,
307,아주 훌륭한 공포영화! 적극 추천,,,,,,,
308,여주인공의 인맥 캐스팅으로 영화가 설득력을 잃었다 남자 관객들은 알고 있다 저 정도 외모의 여자에게 절대 집착하지 않는다는 걸...,,,,,,,
309,진짜 리얼 잘뻔했다 이게 9점이라고 코로나 때문에 영화 볼게 진짜없는건 맞는데 그렇다고 후한평점 주는건 더더욱 아니지 내시간이 아깝다 특이한 소재도 아니고 그렇다고 긴장감 넘치는것도 아니고 뭔가 딱히 임팩트도없고 s...,,,,,,,
310,초반에는 암유발 캐릭 중반에는 졸리고막판에는 짜증남점수 너무 높음 한 7점 정도가 적당할듯,,,,,,,
311,감상포인트를 정할게 없는데도 정해야 되는 어처구니 없는 시슽템이영화는 배우들은 연기도 엉망이고 투명인간이 이렇게 어설퍼서야 의미가 없지 않나? 연출도 엉망 각본도 엉망  봐줄래야 봐줄수가 없다1점도 아깝다,,,,,,,
312,해리포터의 투명망토가 더 스릴넘친다,,,,,,,
313,딱 6점짜리 영화.. 평점에 속아 보면 후회할것... 무섭지도 재밌지도 기발하지도 예측불허하지도 않음...,,,,,,,
314,ost가 특히 더 좋았습니다.,,,,,,,
315,기대를 많이하고 봐서 그런지 별로였다,,,,,,,
316,3월21일 롯데신도림 낮12시15분에 그 큰 영화관에서 난생 첨으로 혼자 영화 봤어요. 그것도 장르가 공포/스릴러... 나름 호러매니아인데,,,,,,,
317,와..그냥 미쳤음내가 컨저링때 공포영화는다수가 그영화를 보고 공포를 느꼈다면 잘만든 공포영화라고 생각한다고 남겼을때 꽤 많은 좋아요를 받았던걸로 기억하는데 그때가 처음이자 마지막으로공포영화에 호평을 남긴거였다근데 이...,,,,,,,
318,잔인한 장면은 없지만 포인트는 있었고 제임스 역할의 배우 피지컬이 자꾸 시선강탈을 했다. 멋있었다.,,,,,,,
319,스토킹 전남친 떠올라서 나도 덜덜,,,,,,,
320,저 주인공분 어스에서 흑인분들 친구 역할로 나왔을 때 연기잘한다고 생각했는데,,,,,,,
321,나쁘지않음,,,,,,,
322,좋은 소재,,,,,,,
323,신선한 장르의 공포입니다. 나름 잔잔히 재밌게 잘 봤습니다. 이런 영황의 장르도 한 번 쯤 보시면 좋을 듯 합니다.,,,,,,,
324,간만에 귀신없이 쫄깃한 공포,,,,,,,
325,여주인공 연기 진짜 소름돋게 잘하네요,,,,,,,
326,공포보단 스릴러물 재미있음ㅋ,,,,,,,
327,이 영화 진짜 대박이네요 ㅡㅡㅋ,,,,,,,
328,기대이상이에요~ 이런 공포영화 만나기 쉽지 않은데,,,,,,,
329,인정할 수 밖에 없는 영화..,,,,,,,
330,투명인간 정체가 들어나기 전까지의 공포감은 ㄷㄷ그리고 일단 여주가 연기를 너무 잘하는듯,,,,,,,
331,연출도 별로고 스토리도 별로고 다별로 별로별로별로,,,,,,,
332,갈수록 재미없어짐 안무서움,,,,,,,
333,투명 슈트만 입었다하면 천하무적이 됨. 근육질의 흑형들도 다 필요없어짐.재력은 끝판왕. 지력,,,,,,,
334,처음부터 끝까지 긴장감을 아주 잘 유지했다,,,,,,,
335,여주인공이 예쁘지않아서 남자주인공의집착이 공감되지 않았다는...,,,,,,,
336,공포도 아니고 sf도아니고 스릴도 아니고 뭐가뭔지평점이 뭐이리 높은지 댓글알바들 참고생많네ㅋㅋ뭔가 확연한게 연출된게 없고 흐지부지함B급영화,,,,,,,
337,공포없고 재미없고 솔직한평임,,,,,,,
338,처음 시작부터 긴장감 끌어넘치게 개밥그릇 걷어 차면서 ASMR 시전,,,,,,,
339,보다가 지루해서 잤습니다. 슈트는 갖고싶다 그리고 결말은 또 왜 싱겁게 끝나노,,,,,,,
340,참신한 소재,,,,,,,
341,세상에 너무 재미없다.. 90년대영화 투명인간이 훨신재밋음,,,,,,,
342,하... 돈 버림... 결말 어이없음,,,,,,,
343,공포는 무슨 SF 영화다. 평점 보고 봤더니 낚였다. 황당하다.,,,,,,,
344,아니 무슨 영화가 이렇게 재미없냐,,,,,,,
345,여주가 소도 때려잡게 생긴 여전사스타일인데 왜 잡혀 살았을까?,,,,,,,
346,영화는 여주인공을 미치게 만드려는게 아니라 관객을 미치게 만드려는거다. 1시간 30분동안 답답함.,,,,,,,
347,스토리부터 뻔한 귀신영화가 아니라 좋았고스토리전개같은 부분이 적당한 긴장과 완화가 느껴져서 좋났지만 결말이 조금 허무한 느낌..이라 결말은 개인적으로 살짝 아쉬웠던 영화,,,,,,,
348,초반 30분까지의 긴장감은 훌룡하나 그후 인비저블맨이 무엇인지 드러난후부턴 노잼이고 무섭지도 않음무엇보다 결말이 너무 뻔한거 아닌지? 1점대는 아니지만 평점이 8점대로 형성되있길래 좀 낮춰야겠다 싶어서 1점 드립니당...,,,,,,,
349,너무 재밋어요ㅋ깜짝깜짞놀라서,,,,,,,
350,찝찝한 영화네요. 그냥저냥 보고왔습니다.,,,,,,,
351,공포영화 아닌것같음 이걸 왜 돈 내고 보나 싶음,,,,,,,
352,여자친구와 봤는데 나쁘지 않고 볼만합니다. 무섭지는 않더라구요 개인적으로,,,,,,,
353,영화관에서 볼만하네여ㅋㅋㅋ예상치 못한 전개에 긴장하면서 봤어여,,,,,,,
354,시간가는줄모르고 봤어요 반전도 대박ㅋㅋㅋ,,,,,,,
355,클레멘타임보다노잼임..,,,,,,,
356,쉬   이발 세상에 어떻게 이렇게 재미 없을 수가 있냐,,,,,,,
357,잠깐 흥미로웠다가 한동안 지루. 또 잠깐 볼만했다가 한참동안 답답. 주인공 연기도 계속 보자니 매번 같고...연출이 문제,,,,,,,
358,,,,,,,,
359,겁나 재밌고 스릴 있었음. 추천해주고 싶은 작품임.,,,,,,,
360,그냥 영화 제목부터 스포중임그냥 스토리는 뻔함,,,,,,,
361,스릴있어요손에땀나게보았네요,,,,,,,
362,정말 아깝다 ~운이없는 영화라고나 할까 최소한 이나라에서는~~오랜만에 몰입감 짱짱한 영화 한편~,,,,,,,
363,긴장감의 연속;; 보는내내 쉴 틈 없이 빠져든다,,,,,,,
364,그냥저냥 볼만합니다  너무큰기대는하지말고 가벼운마음으로보세요,,,,,,,
365,블룸하우스 스튜디오에서 제작을 맡아 그런지 컨저링 시리즈를 보는듯한 느낌도 받았다 보통 투명인간 하면 영화 할로우맨이 떠오르는데 인비저블은 그에 뒤쳐지는 느낌도 없고 슈트라는 소재도 참신했다 중간 중간 불필요한 설명...,,,,,,,
366,너무 지루함 보다가 졸았음 이런 영화에 평점 많이주는 알바가 없었으면 좋겠어요 돈날린기분 마지막엔 좀 볼만하다 싶더니 전체적으로 공포스럽지도 않고 보는내가 허탈해서 그냥 미간 찌푸러짐 뭘 본거지 싶을정도 알바들 많이...,,,,,,,
367,개노잼.. 도대체 무얼 말하려고 하는건지.. 흑인 남편 잘 생기고 몸짱인거만 기억에 남네요!!!,,,,,,,
368,개밥그릇 찰때가 제일 무서웠다..ㄷㄷ,,,,,,,
369,코로나때문에 아무도 없는 영화관에서 혼자 심장쫄깃하며 팝콘날리며 소리도 못지르고ㅡ정작 누가있음 소리가 나던데.ㅡㅡ 재밌게 봤어요. 완전 영화관 전세냄 ㅋ.,,,,,,,
370,하나하나 전부 재미없는데 여자주인공은 못생겻고 투명인간은 힘이 거의 히어로급인데 마지막은 여자 보다 약함 그냥 싸구려 영화임.,,,,,,,
371,정말로 취존일수도 잇지만 이거 잼잇다고 하는 사람들 최소 댓글알바다. 진짜 처음부터 끝까지 노잼,,,,,,,
372,공포라는것도 강약조절이 있어야 되는데 대낮에도 큰 사운드로 사람 놀래키는 부분이 별로였음그리고 스토리가 좀 부실했음 차라리 슈트가 더 나중에 밝혀지고 주인공의 망상인것처럼 꾸며나가는 것이 좋았을것이라고 생각됨,,,,,,,
373,재밋게봣네요 ㅎㅎ인상깊어요,,,,,,,
374,강추... 긴가민가 하면서 봤는데 뻔한 스토리 안에서 깜놀래키는 실력이 매우 훌륭하고 여주의 남편의 괴롭힘에 찌든(?)연기도 좋았어요 플롯은 흔할 수도 있고 캔디맨도 좀 떠오르네요 친구인 흑인 경찰이 의지가 되긴 하...,,,,,,,
375,그냥 영화중반부터 스토리,,,,,,,
376,그세계적인걸 발명했는데 ..   후반에 그 정체가밝혀졌는데   언급이없냐 ㅋㅋ    인류최고의 발명품인디..   그리고 나같음 수십개 만들어서나왔다 ㅋ,,,,,,,
377,나를 찾아줘 하위호환...,,,,,,,
378,진정한 자유를 얻었네 흡인력 짱이네,,,,,,,
379,보이지 않는 귀신보다,,,,,,,
