,content,,,,,,,,,,,
196,네... 여러분 제임스 그레이 감독이 제임스 그레이했습니다. 대체 왜 라는 메시지를 장시간에 겁나 루즈하게 보여줘요. 인터스텔라와 그라비티를 기대한다면 비추천입니다.,,,,,,,,,,,
197,1029309(tjdd****) ??? 인터스텔라?? 도랏냐???,,,,,,,,,,,
198,개인적으로 나쁘지 않았지만 제대로 알고보셔야되는게 무슨 그래비티+인터스텔라 절대 아닙니다. 화려한거 이런거 기대하시면 안돼요. 철저히 심리적인 묘사위주 영화입니다. 그래비티보다 더 느리고 잔잔하고 엄청난 반전같은거없...,,,,,,,,,,,
199,9.21 코엑스 조조로 봤습니다. 공허해 보이는 우주를 배경으로 브래드피트의 냉소적 표정,,,,,,,,,,,
200,이영화를 보고 12차원에 들어가서 네이버 댓글을 다는중입니다. 앞으로도 이런영화가 많이 양성됬으면 좆겠습니다. 애드아스트로 화이팅ㅗㅗ,,,,,,,,,,,
201,생각보다 재밌고 영화가 말하고자 하는것을 충분히 느낄 수 있었다,,,,,,,,,,,
202,왠지 어색할줄 알앗는데 의외로 넘나 자연스러웠다ㅋㅋㅋ역시 괜히 유명배우감독이 아니지~~,,,,,,,,,,,
203,브레드 피트 눈빛 연기는 압권,,,,,,,,,,,
204,우주에 대한 한차원 높은 상상력과 이야기 방식,,,,,,,,,,,
205,철학적인 메세지 좋아하는분들 강추,,,,,,,,,,,
206,너무너무 취향저격 영화!!,,,,,,,,,,,
207,완전 꿀잼 ㅋㅋ 밝은 영화는 아니지만 묵묵하게 전개되는? 저는 재밌게 봤어요!!!,,,,,,,,,,,
208,일단 간단하게 말하면 영화 스토리가 대중이 없다.등장인물 퇴장하는게 개연성이 전혀 없이 퇴장함. 예를들어 빵형을 못 미더워서 감시하러 보낸 할배는 우주해적에게 총맞아서 퇴장했고화성으로 가다가 빵형이 sos 신호 가지...,,,,,,,,,,,
209,뭘 말하려는지 알겠는데 이렇게 간단한 주제를 굳이 sf물로 .... ? 피트형 눈썹 떨리는거에 한번 지리고 전체적으로 루즈함 그리고 극한직업이 인생영화겠죠? 하면서 비꼬는놈들은 사람마다 영화보는 기준이다르고 즐거움을...,,,,,,,,,,,
210,우리는 무엇에 의미를 두고 사는가 2019 스물아홉 방황하는 나에게 남기는 흔적,,,,,,,,,,,
211,애를 쓰고 또 써봐도 안돼 이건..너무 졸리잖아~ ㅡㅜ,,,,,,,,,,,
212,평점보고 봤는데 망했음,,,,,,,,,,,
213,와 진짜 댓글알바들이 있구나평점소름..보지마세요 후회하기싫으면,,,,,,,,,,,
214,아부지 빨리 집으로 가야쥬 뭐해유 그럼 그냥 여기 있으셔 그럼 아휴 증말,,,,,,,,,,,
215,성장하며 앞으로 나아가는 이야기는 언제나 매력적,,,,,,,,,,,
216,좋아요굿굿 영화지 이게,,,,,,,,,,,
217,평점을 높게 주신 분들은 영화를 잘 이해했나보군요~전 영화가 내용은 어렵고 영상은 깜깜하기만 한 것 같고 그닥 추천하고 싶지는 않네요~혹시 추천하시는 분들은 보고 나서 나만 당할 순 없지 하는 마음에 안 보신 분들을...,,,,,,,,,,,
218,인터스텔라 기대하고가면 큰코다침,,,,,,,,,,,
219,저는 인터스텔라도 재밌게 잘 봤는데.  이 영화는 보는게 수업 듣는 기분이네요 언제 끝나지 이러다가 화성가서 잠잤네요 눈 뜨니까 아빠만남 ㅋ,,,,,,,,,,,
220,유튜브에 잠오는 영상 치면'우주를 찾아서' 이게 첫 번째로 나오는데그거랑 비슷 함진짜로 잠 옴,,,,,,,,,,,
221,브래드 피트의 눈밑 지방도 연기를 한다. 멋진 배우다. 삶의 가치를 생각하게 하는 영화.,,,,,,,,,,,
222,헛짓거리에 시간 쓰지말고 주변 사람한테 잘해라 사랑하며 살아라. 브래드피트의 연기는 정말 최고인듯!,,,,,,,,,,,
223,지구의 희노애락이 얼마나 소중한지를...,,,,,,,,,,,
224,ㅋㅋ진짜 원숭이 나올때 잠깨고계속졸다가 지구로 귀환 한것까지보고. 끝꿀잼영화가아니라 꿀잠 영화임ㅋㅋ,,,,,,,,,,,
225,웰 메이드란 바로 이런것. 명작반열까지는 아니지만 잘만들어진  상업용 비주류 영화,,,,,,,,,,,
226,마지막에 자신의 신념에 사로잡힌 아버지를 용서하고 놓아주는 장면에서 로이가 한 독백 '왜 계속 하려는 거예요? 왜 포기를 못해요?''  이 두 문장에 주인공의 심경들을 다 녹여낸것 같았다.,,,,,,,,,,,
227,근 5년간 이런영화 처음봄 ㅎㅎ 멀미날지경 ㅅㅂ,,,,,,,,,,,
228,역시 브레드피트 연기력좋고 짜임새가 좋아요 타짜3같은 OOO 영화보지마시고 이거 2번보세여,,,,,,,,,,,
229,저는 영화보고 느끼는거 많았어요..근데 신랑은 우주관련된 영화라해서 엄청 스펙타클할 줄 알았는데 그게 아니라 지루했다더라구요.이 영화는 우주는 그저 배경일 뿐이고.. 그냥 한  남자의 드라마라고 생각해요..저는 굉장...,,,,,,,,,,,
230,이해할수만 있다면 최고의 영화,,,,,,,,,,,
231,영화는 첫시작부터 끝까지 주인공의 시점을 따라간다 그리고 우리는 주인공이 바라보는 세상을 함께 여행하고 느끼고 생각하게된다 영화를 그저 오락 거리로만 생각하는 사람들에겐 비추,,,,,,,,,,,
232,영화 리뷰 처음 남깁니다 말도 안되게 평점 깎는 분들 계셔서요,,,,,,,,,,,
233,피곤한 상태에서 보지마라 자칫 집중못하면 엄청 지루할수 있다. 빵빵터지는 스토리는 아니였지만 한남자의 인생을 본것같다,,,,,,,,,,,
234,우주는 배경일 뿐 인간의 내면을 다룬 영화다 절대로 러닝타임은 길지 않습니다,,,,,,,,,,,
235,아버지가 중요한게 아니다. 광활한 우주에서 나를 찾아가는 로드무비.,,,,,,,,,,,
236,평점테러하지마라한국에서는 절대 볼수없는 심오함이다,,,,,,,,,,,
237,우주를 배경으로한 인문학과 철학적인 요소를 섞어놓은 느낌.,,,,,,,,,,,
238,당신이 기다리는 그래비티,,,,,,,,,,,
239,너무 좋았어요 영화다운 영화봤네요 오랜만에,,,,,,,,,,,
240,남는건 브레트 피트의 연기밖에 없던 쓰레기....세바시 15분 강연 마지막에 몇마디 멘트로 나올법한 대사를 위해서아버지가 동료를 살해할 수 밖에 없었던 그 수많은 복선들,,,,,,,,,,,
241,내가 졸린건지 영화가 졸린건지,,,,,,,,,,,
242,난 이영화가 지루하다는 사람을 평생 이해하지 못할것이다.,,,,,,,,,,,
243,너무 지루하고  많이들 자요..내용도 그닦 별루이고 너무 지루함,,,,,,,,,,,
244,sf스릴러 기대하고 가시면 그냥 숙면하다가 나오십니다 ㅎㅎㅎ그냥 핵지루한 sf드라마,,,,,,,,,,,
245,와 ㅋㅋ 처음으로 이거 남긴다 진짜 역대급이다 ㄹㅇ로,,,,,,,,,,,
246,아니 보기전에 평점봤는데 어떤 댓글에 원숭이 말고 ㄱ억남는거 없다해서 그냥 그려러니 하고 봤는데 ㄹㅇ 자다가 원숭ㅇ때는에 깨고 다시 잠 ㅋ ㄹㅇ 뒷사람들 영화 끝나고 욕 개함,,,,,,,,,,,
247,잠 오지게잘오는영화였다,,,,,,,,,,,
248,처음으로 영화관에서 졸아본 영화 같이 보자고 한 친구 때릴뻔 했다,,,,,,,,,,,
249,인터스텔라 그래비티 마션 등을 좋아하는 공상과학 우주영화좋아했는데 이건 솔직히 뭐가 없음 흥미위주영화를 좋아하긴하는데 이건 진짜 지루하고 졸리고 뭔가 묵직하게 찍어놨는데 뭐가 없는 느낌 그냥 마냥 지루졸림,,,,,,,,,,,
250,스토리도 있고 교훈도 있고 빵아저씨 연기도 좋았다...그렇다고 모든 사람에게 명작일순 없다...좋은 영화지만 지루한건 어쩔수 없다...너무 지루한 편집이었다...브레드피트는 우주선에서 난 극장에서 지루해했다...1점...,,,,,,,,,,,
251,깜박 졸고있는데  옆의 남편은 코를 골고있더군요,,,,,,,,,,,
252,하두 재미없어서 처음 글써봅니다..적당히 라는걸 모르는 영화..그냥 처음 부터 끝까지 똑같네요ㅡㅡ,,,,,,,,,,,
253,개봉하는 영화는 다 보는데 평점은 첨 남긴다,,,,,,,,,,,
254,진짜 재미없다.  영화보다 잠든건 처음이다,,,,,,,,,,,
255,우주영화 SF영화라면 환장 하는데..너무너무너무 재미없다..인터스텔라+그래비티??똥싼다 진짜 ㅋㅋㅋㅋ,,,,,,,,,,,
256,인생을 어떻게 살아야하는지 생각케한 영화....후반부는 완전몰입...브래드피트의 눈떨림까지 느끼며 본 영화~강추,,,,,,,,,,,
257,초반에 졸려 죽을뻔하다가 원숭이나올때 그나마 좀 봤음. 그냥 부성애에 중점을뒀지 우주영화 기대하고 보면 안됨.  개지루함 진짜,,,,,,,,,,,
258,평점 좋길래 봤는데 .. 그정도까지는 아닌 영화,,,,,,,,,,,
259,오열하고 자극적이고 광고와 배경음악만 요란한 양념가득 껍데기같은 영화에 익숙해진 사람들에겐 이 영화가지루하고 재미없을 것이다. 하지만 우리들에게 주어진 뾰족한 외로움,,,,,,,,,,,
260,캐릭터별 심리를 잘 표현한 영화라고 생각합니다. 런타임이 길지만 긴장감있게 잘만들어진거 같습니다. CG가 많진 않고  긴장을 늦추지 않도록 사건이 연이어 일어납니다. 이영화는 많이 알아보지 마시고 직접 가서 보시는게...,,,,,,,,,,,
261,와이프랑 같이 영화를 보러갔다.영화 시작되고 15분 정도 지나서 이게 진정한영화다. 영화는 이래야 된다며 속으로 느끼며감동에 감동으로 봤다.옆을 보니 와이프는 자고있었다.,,,,,,,,,,,
262,정말 아름답고,,,,,,,,,,,
263,이걸 보고 졸리다고 말하는 사람들은 인스턴트식품만을 좋아하며 입맛투정하는 어린애와 같은 수준의 장르 영화만 좋아하는 사람이라고 생각한다. 요즘 같이 대량양산 킬링타임용 영화만 판치는 세상에 이런 영화가 나와줘서 간만...,,,,,,,,,,,
264,거대한 우주에서 벌어지는 더 깊은 인간의 이야기!! 생각했던 것보다 어마어마한 고퀄이라 놀람 bb,,,,,,,,,,,
265,블록버스터를 기대하신 분들은 실망하실지도,,,,,,,,,,,
266,삶의 가치에 대해 잠시나마 우주를 배경으로 고찰하실분만 보세요~,,,,,,,,,,,
267,러닝타임 2시간20분동안 브래드피트는 아빠만 찾고 / 반전도 없고 / 끝엔 뭐야? 하고 끝나버림 영화시작할때 먹은 핫도그가 소화가 안될정도로 데이트 폭망의 길로 안내할 영화.. 영화가 주는 메시지는 피트가 많이 늙었...,,,,,,,,,,,
268,내가 수준이 낮나 그래비티랑 인터스텔라 급은 아닌듯해요,,,,,,,,,,,
269,개 그지같은 한국영화와는 다르게 영상미. 여운. 느낌 모든게 앞선다.. 도저히 한국에서는 나올수없는 퀄이고 비현실적인 요소들이 있지만 인간적인 교훈을 전달하는게 이 영화의 목적이라고 본다 정말 최고임,,,,,,,,,,,
270,절대 보지마세요 브래드 피트 믿고 뒤통수 맞은 내가 잘못이지만  의미 있는 영화던 뭐던 재미가 있어야지 우주 다큐맨터리 보다 재미없는건 처음인듯  별0개가 없어서 1점줌니다,,,,,,,,,,,
271,지루한거랑 재미없는 거랑 구분못하는 사람들이 많네 엽떡이니 흑당이니 뭐든지 때려부어야 맛있는줄 아는 사람들 에휴,,,,,,,,,,,
272,이 적막함 외롭다,,,,,,,,,,,
273,타미리존스와 브래드피트로 그게 최선 이었니?,,,,,,,,,,,
274,진짜 루즈하다. 그래비티처럼 긴장감 있는전개도 아니고 다큐식 드라마다 나레이션이 대부분을 차지하는데 ..  솔직히 지루하다,,,,,,,,,,,
275,설명하기 어렵지만 영화가 끝난 후 감동이 밀려온다.,,,,,,,,,,,
276,우리가 추구해야 할 본질은,,,,,,,,,,,
277,몽환적이다. 다소 지루하게 느껴질수있지만,,,,,,,,,,,
278,우주영화는 아니고 휴먼드라마였음..,,,,,,,,,,,
279,인생에서 중요한 게 무엇인지 다시 한 번 느끼게 된 순간,,,,,,,,,,,
280,우주 영화라고 다들 인터스텔라 그래비티만 생각하고 봤나본데,,,,,,,,,,,
281,누군가에겐 지겨울수도 있지만 누군가에겐 인생에 대해 곰곰히 생각하게 만드는 수작임!,,,,,,,,,,,
282,우주에 있는듯한 기분이 들었어요,,,,,,,,,,,
283,너무 재밌었다.. 마지막여정이 너무스킵되었지만..브레드피트의 연기가 8할이상!,,,,,,,,,,,
284,우주영화가 좋아서 봤지만 배경이 꼭 우주가 아니어도 상관없는 내용의 영화. 극한의 고독과 허무함,,,,,,,,,,,
285,내인생최고의 수면제영화,,,,,,,,,,,
286,함께 느끼는 고독의 시간,,,,,,,,,,,
287,2016년 작품 콘택트 좋게 보셨으면 추천합니다.,,,,,,,,,,,
288,브래드피트의 감정연기는 정말좋았고 인간 내면과 우주를 접목하여 철학적으로 잘 풀어낸것 같으나,,,,,,,,,,,
289,아놔 대실망 영화 보는동안 계속 졸림,,,,,,,,,,,
290,다 좋고 메시지도 알겠는데 솔직히 좀 지루하기도 했다.,,,,,,,,,,,
291,극장에서 봐야합니다. 혼자봐야함,,,,,,,,,,,
292,우주라는 소재를 이용해 인간의 내면과 본질에 대한 물음을 던진 점은 굉장히 높이 살만하지만,,,,,,,,,,,
293,네이버 평점 이거 맞는 건가요? 너무 재미없어서 보다 말았는데... 무슨 말같지도 않은 내용으로 이렇게 지루하게 스토리를 질질 끄는지.,,,,,,,,,,,
294,좋은 메세지 할아버지가 와도 영화가 이렇게 지루하면 안됨,,,,,,,,,,,
295,기본적으로 말도 안되는 시나리오.. 알파 센타우리도 아니고 뭔 해왕성에서 외계인을 찾아.. 자기 집 안에서 모르는 사람 만날 확률이 더 높겠다.. 너무 떨어지는 리얼리티에 웃음 밖에 안나옴 달에서 나온 해적도 당췌 ...,,,,,,,,,,,
296,지루하고 재미없다,,,,,,,,,,,
297,솔직한 감상평 남겨본다. SF 장르라고 되어 있는데,,,,,,,,,,,
298,영상미와 브래드 피트의 연기는 멋졌으나 너무 너무 지루했다 달에 해적이 있다는 것과 식인 원숭이 같은 설정은 너무 뜬금없어서 몰입감을 방해했음,,,,,,,,,,,
299,인터스텔라를 생각했다면 솔직히 실망 많이함. 상당히 졸림. 우주영화 절반+인간의 내면에 관한 철학적인 내용 절반.,,,,,,,,,,,
300,솔직히 그래비티 + 인터스텔라는 거짓말이다. 에초에 감독이 예술영화 감독이고 전작이나 전전작도 상업성과 거리가 먼 작품이었다. 이번 작품은 상업성과 예술성 사이에서 타협한 느낌. sf영화기는 하지만 엄청난 반전보다는...,,,,,,,,,,,
301,노잼 개연성 개나줌. ㅗ ㅗ,,,,,,,,,,,
302,결론: 가까운사람에게잘하자그냥 ㅈ노잼이였음 거르길..,,,,,,,,,,,
303,철학적? 애초에 우주까지 갔어야하나 싶을정도로 영화가 주는 메세지가 그리 깊이있다 느껴지지도않고 제대로 회수하는 떡밥도없으며 SF적인 고증과 개연성역시 개나줬습니다. 연출마저 지루하구요. 재미없다느끼면 수준낮은거라고...,,,,,,,,,,,
304,솔직히 영화광은 아닌 입장에서 이 영화는 퍼스트맨 그리고 우주판 덩게르크라고 생각합니다. 사건에 대한 이야기 보다는 주인공이 처한 상황에 따라 달라지는 심경 변화에 초점을 둔 영화였다고 봅니다. 그래서 화성 장면에서...,,,,,,,,,,,
305,상영시간의 전반을 브래드 피트의 내면 연기로 극을 이끄는데 그 완성도를 떠나 영화 전체의 텐션이 초중반 이후 많이 떨어져 코골며 자는 사람이 꽤 됐다. 호불호가 상당히 갈릴듯하나 볼거리 만을 쫒지는 않은 꽤 영화다운...,,,,,,,,,,,
306,수면유도제로는 10점. 영화로는 5점.,,,,,,,,,,,
307,피트형 힘오한 영화는 형과 안어울려~트리오브 라이프 의 후속작?  감사해요형 숙면엔 딱이에요,,,,,,,,,,,
308,이런게 진정한 영화다.브래드피트가 아니면 전달하지 못했을 이야기.그와 함께 나이드는게 다행이다.,,,,,,,,,,,
309,생각보다 좋았어요 아이랑 같이 봤는데 지루해할까봐 걱정했는데 아이도 의외로 좋았다고 합니다,,,,,,,,,,,
310,시간가는줄 모르고봤음 ㄹㅇ,,,,,,,,,,,
311,왜 스크린 쿼터제가 폐지되고  한국영화가 자유경쟁해야 산다는 역설을 보여준 영화! 메시지가,,,,,,,,,,,
312,시간가는줄 모르겠던데,,,,,,,,,,,
